word;stemmed;sequence number;word count;negative;positive;uncertainty;litigious;constraining;superfluous;interesting
abettor;abettor;81;123;0;0;0;0;0;0;0
abettors;abettor;82;47;0;0;0;0;0;0;0
abeyance;abey;83;9457;0;0;2009;0;0;0;0
abeyances;abey;84;9;0;0;2009;0;0;0;0
abhor;abhor;85;10;0,25;0;0;0;0;0;0
abhorred;abhor;86;0;0;0;0;0;0;0;0
abhorrence;abhorr;87;0;0,375;0;0;0;0;0;0
abhorrences;abhorr;88;0;0;0;0;0;0;0;0
abhorrent;abhorr;89;36;0,75;0;0;0;0;0;0
abhorrently;abhorr;90;0;0;0;0;0;0;0;0
abhorring;abhor;91;0;0;0;0;0;0;0;0
abhors;abhor;92;0;0;0;0;0;0;0;0
abidance;abid;93;101;0;0;0;0;0;0;0
abidances;abid;94;0;0;0;0;0;0;0;0
abide;abid;95;52793;0;0;0;0;2009;0;0
abided;abid;96;542;0;0;0;0;0;0;0
abides;abid;97;738;0;0;0;0;0;0;0
abiding;abid;98;1766;0;0,375;0;0;2009;0;0
abidingly;abidingli;99;1;0;0;0;0;0;0;0
abilities;abil;100;63193;0;0;0;0;0;0;0
ability;abil;101;8083865;0;0,5;0;0;0;0;0
abject;abject;102;22;0;0,625;0;0;0;0;0
abjection;abject;103;7;0,125;0;0;0;0;0;0
abjections;abject;104;0;0;0;0;0;0;0;0
abjectly;abjectli;105;0;0;0,375;0;0;0;0;0
abjectness;abject;106;0;0;0;0;0;0;0;0
abjectnesses;abject;107;0;0;0;0;0;0;0;0
abjuration;abjur;108;3;0,625;0;0;0;0;0;0
abjurations;abjur;109;0;0;0;0;0;0;0;0
abjuratory;abjuratori;110;0;0;0;0;0;0;0;0
abjure;abjur;111;3;0,625;0;0;0;0;0;0
abjured;abjur;112;0;0;0;0;0;0;0;0
abjurer;abjur;113;0;0;0;0;0;0;0;0
abjurers;abjur;114;0;0;0;0;0;0;0;0
abjures;abjur;115;1;0;0;0;0;0;0;0
abjuring;abjur;116;0;0;0;0;0;0;0;0
ablate;ablat;117;1637;0;0;0;0;0;0;0
ablated;ablat;118;204;0,125;0;0;0;0;0;0
ablates;ablat;119;204;0;0;0;0;0;0;0
ablating;ablat;120;298;0;0;0;0;0;0;0
ablation;ablat;121;15780;0;0;0;0;0;0;0
ablations;ablat;122;407;0;0;0;0;0;0;0
ablative;abl;123;615;0;0,625;0;0;0;0;0
ablatives;abl;124;22;0;0;0;0;0;0;0
ablaze;ablaz;125;24;0;0;0;0;0;0;0
able;abl;126;3253260;0;0,125;0;0;0;0;0
abler;abler;127;10;0;0;0;0;0;0;0
ablest;ablest;128;108;0;0;0;0;0;0;0
abloom;abloom;129;0;0;0,125;0;0;0;0;0
ablution;ablut;130;16;0;0;0;0;0;0;0
ablutions;ablut;131;0;0;0;0;0;0;0;0
ably;abli;132;750;0;0,375;0;0;0;0;0
abnegate;abneg;133;4;0;0;0;0;0;0;0
abnegated;abneg;134;1;0;0;0;0;0;0;0
abnegates;abneg;135;0;0;0;0;0;0;0;0
abnegating;abneg;136;0;0;0;0;0;0;0;0
abnegation;abneg;137;0;0;0;0;0;0;0;0
abnegations;abneg;138;0;0;0;0;0;0;0;0
abnormal;abnorm;139;56944;0,125;0,5;0;0;0;0;0
abnormalities;abnorm;140;6069;0,5;0;0;0;0;0;0
abnormality;abnorm;141;1539;0,5;0,25;0;0;0;0;0
abnormally;abnorm;142;10101;0,5;0,125;0;0;0;0;0
aboard;aboard;143;6205;0;0;0;0;0;0;0
abode;abod;144;330;0;0;0;0;0;0;0
abodes;abod;145;2;0;0;0;0;0;0;0
abolish;abolish;146;9635;0,5;0;0;0;0;0;0
abolished;abolish;147;2630;0,5;0;0;0;0;0;0
abolishes;abolish;148;237;0,5;0;0;0;0;0;0
abolishing;abolish;149;501;0,5;0;0;0;0;0;0
abolishment;abolish;150;305;0;0;0;0;0;0;0
abolition;abolit;151;613;0;0;0;0;0;0;0
abolitionism;abolition;152;0;0;0;0;0;0;0;0
abolitionisms;abolition;153;0;0;0;0;0;0;0;0
abolitionist;abolitionist;154;0;0;0;0;0;0;0;0
abolitionists;abolitionist;155;0;0;0;0;0;0;0;0
abolitions;abolit;156;3;0;0;0;0;0;0;0
abominable;abomin;157;12;0,25;0;0;0;0;0;0
abominably;abomin;158;0;0,375;0;0;0;0;0;0
abominate;abomin;159;0;0,25;0;0;0;0;0;0
abominated;abomin;160;0;0;0;0;0;0;0;0
abominates;abomin;161;0;0;0;0;0;0;0;0
abominating;abomin;162;0;0;0;0;0;0;0;0
abomination;abomin;163;15;0,125;0,125;0;0;0;0;0
abominations;abomin;164;1;0;0;0;0;0;0;0
aboriginal;aborigin;165;2124;0;0;0;0;0;0;0
aboriginals;aborigin;166;55;0;0;0;0;0;0;0
aborigine;aborigin;167;3;0;0;0;0;0;0;0
aborigines;aborigin;168;9;0;0;0;0;0;0;0
aborning;aborn;169;0;0;0;0;0;0;0;0
abort;abort;170;734;0;0;0;0;0;0;0
aborted;abort;171;2330;0;0;0;0;0;0;0
aborting;abort;172;52;0;0;0;0;0;0;0
abortion;abort;173;550;0;0;0;0;0;0;0
abortionist;abortionist;174;0;0;0;0;0;0;0;0
abortionists;abortionist;175;0;0;0;0;0;0;0;0
abortions;abort;176;339;0;0;0;0;0;0;0
abortive;abort;177;144;0,25;0;0;0;0;0;0
abortively;abort;178;1;0;0,25;0;0;0;0;0
aborts;abort;179;68;0;0;0;0;0;0;0
abound;abound;180;336;0,125;0;0;0;0;0;0
abounded;abound;181;26;0;0;0;0;0;0;0
abounding;abound;182;51;0,25;0;0;0;0;0;0
abounds;abound;183;82;0;0;0;0;0;0;0
about;about;184;5418019;0;0;0;0;0;0;0
above;abov;185;7409756;0,125;0;0;0;0;0;0
aboveboard;aboveboard;186;7;0;0,375;0;0;0;0;0
aboveground;aboveground;187;4751;0;0;0;0;0;0;0
abovementioned;abovement;188;4490;0;0;0;2011;0;0;0
aboves;abov;189;0;0;0;0;0;0;0;0
abracadabra;abracadabra;190;3;0;0;0;0;0;0;0
abracadabras;abracadabra;191;0;0;0;0;0;0;0;0
abrade;abrad;192;64;0,125;0;0;0;0;0;0
abraded;abrad;193;47;0;0;0;0;0;0;0
abrades;abrad;194;7;0;0;0;0;0;0;0
abrading;abrad;195;78;0;0;0;0;0;0;0
abrasion;abras;196;2930;0;0;0;0;0;0;0
abrasions;abras;197;491;0;0;0;0;0;0;0
abrasive;abras;198;5471;0;0;0;0;0;0;0
abrasively;abras;199;0;0;0;0;0;0;0;0
abrasiveness;abras;200;67;0,556;0,444;0;0;0;0;0
abrasivenesses;abras;201;0;0;0;0;0;0;0;0
abrasives;abras;202;4148;0;0;0;0;0;0;0
abreast;abreast;203;6116;0;0;0;0;0;0;0
abridge;abridg;204;2584;0;0;0;0;0;0;0
abridged;abridg;205;1422;0;0;0;0;0;0;0
abridgement;abridg;206;421;0;0;0;0;0;0;0
abridgements;abridg;207;47;0;0;0;0;0;0;0
abridges;abridg;208;60;0;0;0;0;0;0;0
abridging;abridg;209;328;0;0;0;0;0;0;0
abridgment;abridg;210;385;0;0;0;0;0;0;0
abridgments;abridg;211;42;0;0;0;0;0;0;0
abroad;abroad;212;107063;0;0;0;0;0;0;0
abrogate;abrog;213;4928;0,5;0;0;2009;0;0;0
abrogated;abrog;214;1611;0,5;0;0;2009;0;0;0
abrogates;abrog;215;282;0,5;0;0;2009;0;0;0
abrogating;abrog;216;369;0,5;0;0;2009;0;0;0
abrogation;abrog;217;1476;0,5;0;0;2009;0;0;0
abrogations;abrog;218;2;0,5;0;0;2009;0;0;0
abrogator;abrog;219;0;0;0;0;0;0;0;0
abrogators;abrog;220;0;0;0;0;0;0;0;0
abrupt;abrupt;221;4705;0,25;0,5;0;0;0;0;0
abrupter;abrupt;222;0;0;0;0;0;0;0;0
abruptest;abruptest;223;0;0;0;0;0;0;0;0
abruptly;abruptli;224;2432;0,5;0;0;0;0;0;0
abruptness;abrupt;225;8;0,5;0;0;0;0;0;0
abruptnesses;abrupt;226;0;0;0;0;0;0;0;0
abs;ab;227;68898;0;0;0;0;0;0;0
abscess;abscess;228;214;0;0;0;0;0;0;0
abscessed;abscess;229;2;0,5;0;0;0;0;0;0
abscesses;abscess;230;174;0;0;0;0;0;0;0
abscessing;abscess;231;0;0;0;0;0;0;0;0
abscissa;abscissa;232;8;0;0;0;0;0;0;0
abscissae;abscissa;233;0;0;0;0;0;0;0;0
abscissas;abscissa;234;1;0;0;0;0;0;0;0
abscission;absciss;235;4;0;0;0;0;0;0;0
abscissions;absciss;236;0;0;0;0;0;0;0;0
abscond;abscond;237;6;0;0;0;0;0;0;0
absconded;abscond;238;41;0;0;0;0;0;0;0
absconder;abscond;239;0;0;0,375;0;0;0;0;0
absconders;abscond;240;0;0;0;0;0;0;0;0
absconding;abscond;241;19;0;0;0;0;0;0;0
absconds;abscond;242;0;0;0;0;0;0;0;0
abseil;abseil;243;1;0;0;0;0;0;0;0
abseiled;abseil;244;0;0;0;0;0;0;0;0
abseiling;abseil;245;0;0;0;0;0;0;0;0
abseils;abseil;246;0;0;0;0;0;0;0;0
absence;absenc;247;845276;0,5;0;0;0;0;0;0
absences;absenc;248;12254;0,5;0;0;0;0;0;0
absent;absent;249;276230;0,625;0,125;0;0;0;0;0
absented;absent;250;52;0;0;0;0;0;0;0
absentee;absente;251;497;0,625;0;0;0;0;0;0
absenteeism;absente;252;3100;0,5;0,125;0;0;0;0;0
absenteeisms;absente;253;0;0;0;0;0;0;0;0
absentees;absente;254;301;0;0;0;0;0;0;0
absenting;absent;255;19;0;0;0;0;0;0;0
absently;absent;256;0;0;0,5;0;0;0;0;0
absentminded;absentmind;257;0;0,125;0,375;0;0;0;0;0
absentmindedly;absentmindedli;258;0;0;0,5;0;0;0;0;0
absentmindedness;absentminded;259;2;0,125;0,375;0;0;0;0;0
absentmindednesses;absentminded;260;0;0;0;0;0;0;0;0
absents;absent;261;63;0;0;0;0;0;0;0
absinth;absinth;262;0;0;0;0;0;0;0;0
absinthe;absinth;263;0;0;0;0;0;0;0;0
absinthes;absinth;264;0;0;0;0;0;0;0;0
absinths;absinth;265;0;0;0;0;0;0;0;0
absolute;absolut;266;660860;0;0,5;0;0;0;0;0
absolutely;absolut;267;48909;0;0,5;0;0;0;0;0
absoluteness;absolut;268;2;0,125;0,5;0;0;0;0;0
absolutenesses;absolut;269;0;0;0;0;0;0;0;0
absolutes;absolut;270;54;0;0;0;0;0;0;0
absolutest;absolutest;271;0;0;0;0;0;0;0;0
absolution;absolut;272;35;0;0;0;0;0;0;0
absolutions;absolut;273;0;0;0;0;0;0;0;0
absolutism;absolut;274;0;0;0;0;0;0;0;0
absolutisms;absolut;275;0;0;0;0;0;0;0;0
absolutist;absolutist;276;0;0;0;0;0;0;0;0
absolutists;absolutist;277;0;0;0;0;0;0;0;0
absolve;absolv;278;1215;0,125;0,25;0;2009;0;0;0
absolved;absolv;279;689;0;0,625;0;2009;0;0;0
absolves;absolv;280;217;0;0;0;2009;0;0;0
absolving;absolv;281;218;0;0;0;2009;0;0;0
absorb;absorb;282;175996;0;0;0;0;0;0;0
absorbable;absorb;283;1442;0;0,5;0;0;0;0;0
absorbed;absorb;284;40161;0;0;0;0;0;0;0
absorbencies;absorb;285;2;0;0;0;0;0;0;0
absorbency;absorb;286;782;0;0;0;0;0;0;0
absorbent;absorb;287;5504;0;0;0;0;0;0;0
absorbents;absorb;288;1426;0;0;0;0;0;0;0
absorbers;absorb;289;1938;0;0;0;0;0;0;0
absorbing;absorb;290;8457;0;0,5;0;0;0;0;0
absorbingly;absorbingli;291;0;0;0;0;0;0;0;0
absorbs;absorb;292;12474;0;0;0;0;0;0;0
absorption;absorpt;293;62470;0,375;0;0;0;0;0;0
absorptions;absorpt;294;269;0;0;0;0;0;0;0
absorptive;absorpt;295;182;0;0;0;0;0;0;0
abstain;abstain;296;22238;0;0;0;0;0;0;0
abstained;abstain;297;21791;0;0;0;0;0;0;0
abstainer;abstain;298;0;0;0;0;0;0;0;0
abstainers;abstain;299;0;0;0;0;0;0;0;0
abstaining;abstain;300;20837;0;0;0;0;0;0;0
abstains;abstain;301;1565;0;0;0;0;0;0;0
abstemious;abstemi;302;0;0;0;0;0;0;0;0
abstemiously;abstemi;303;0;0;0,25;0;0;0;0;0
abstemiousness;abstemi;304;0;0;0;0;0;0;0;0
abstemiousnesses;abstemi;305;0;0;0;0;0;0;0;0
abstention;abstent;306;5669;0,125;0,25;0;0;0;0;0
abstentions;abstent;307;30418;0;0;0;0;0;0;0
abstinence;abstin;308;536;0,125;0,25;0;0;0;0;0
abstinences;abstin;309;3;0;0;0;0;0;0;0
abstinent;abstin;310;141;0,625;0;0;0;0;0;0
abstract;abstract;311;9596;0;0;0;0;0;0;0
abstracted;abstract;312;206;0,125;0,375;0;0;0;0;0
abstractedly;abstractedli;313;0;0;0,5;0;0;0;0;0
abstractedness;abstracted;314;0;0;0;0;0;0;0;0
abstractednesses;abstracted;315;0;0;0;0;0;0;0;0
abstracting;abstract;316;950;0;0;0;0;0;0;0
abstraction;abstract;317;724;0;0;0;0;0;0;0
abstractions;abstract;318;54;0;0;0;0;0;0;0
abstractly;abstractli;319;13;0;0;0;0;0;0;0
abstractness;abstract;320;0;0,125;0,125;0;0;0;0;0
abstractnesses;abstract;321;0;0;0;0;0;0;0;0
abstracts;abstract;322;19766;0;0;0;0;0;0;0
abstruse;abstrus;323;0;0,375;0,5;0;0;0;0;0
abstrusely;abstrus;324;0;0,25;0;0;0;0;0;0
abstruseness;abstrus;325;0;0,5;0,375;0;0;0;0;0
abstrusenesses;abstrus;326;0;0;0;0;0;0;0;0
absurd;absurd;327;58;0;0,375;0;0;0;0;0
absurder;absurd;328;0;0;0;0;0;0;0;0
absurdest;absurdest;329;0;0;0;0;0;0;0;0
absurdities;absurd;330;0;0;0;0;0;0;0;0
absurdity;absurd;331;7;0;0;0;0;0;0;0
absurdly;absurdli;332;2;0;0;0;0;0;0;0
absurdness;absurd;333;0;0;0;0;0;0;0;0
absurdnesses;absurd;334;0;0;0;0;0;0;0;0
abundance;abund;335;5014;0;0,5;0;0;0;0;0
abundances;abund;336;45;0;0;0;0;0;0;0
abundant;abund;337;8824;0,25;0,5;0;0;0;0;0
abundantly;abundantli;338;331;0;0;0;0;0;0;0
abuse;abus;339;90525;0,125;0,625;0;0;0;0;0
abused;abus;340;2913;0,125;0,375;0;0;0;0;0
abuser;abus;341;87;0,25;0;0;0;0;0;0
abusers;abus;342;487;0;0;0;0;0;0;0
abuses;abus;343;5642;0,5;0;0;0;0;0;0
abusing;abus;344;725;0,5;0;0;0;0;0;0
abusive;abus;345;10968;0,875;0;0;0;0;0;0
abusively;abus;346;48;0,375;0,5;0;0;0;0;0
abusiveness;abus;347;7;0,5;0;0;0;0;0;0
abusivenesses;abus;348;0;0;0;0;0;0;0;0
abut;abut;349;651;0;0;0;0;0;0;0
abutment;abut;350;185;0;0;0;0;0;0;0
abutments;abut;351;225;0;0;0;0;0;0;0
abuts;abut;352;1021;0;0;0;0;0;0;0
abutted;abut;353;18;0;0;0;0;0;0;0
abutting;abut;354;4579;0;0;0;0;0;0;0
abuzz;abuzz;355;29;0;0;0;0;0;0;0
abysmal;abysm;356;15;0,25;0,25;0;0;0;0;0
abysmally;abysm;357;1;0,75;0;0;0;0;0;0
abyss;abyss;358;63;0;0;0;0;0;0;0
abyssal;abyss;359;18;0;0;0;0;0;0;0
abysses;abyss;360;0;0;0;0;0;0;0;0
acacia;acacia;361;2006;0;0;0;0;0;0;0
acacias;acacia;362;62;0;0;0;0;0;0;0
academe;academ;363;7;0;0;0;0;0;0;0
academes;academ;364;0;0;0;0;0;0;0;0
academia;academia;365;2171;0;0;0;0;0;0;0
academias;academia;366;0;0;0;0;0;0;0;0
academic;academ;367;80630;0,625;0;0;0;0;0;0
academically;academ;368;335;0;0,125;0;0;0;0;0
academician;academician;369;83;0;0;0;0;0;0;0
academicians;academician;370;117;0;0;0;0;0;0;0
academics;academ;371;1372;0;0;0;0;0;0;0
academies;academi;372;1091;0;0;0;0;0;0;0
academy;academi;373;7709;0;0,125;0;0;0;0;0
acanthi;acanthi;374;0;0;0;0;0;0;0;0
acanthus;acanthu;375;0;0;0;0;0;0;0;0
acanthuses;acanthus;376;0;0;0;0;0;0;0;0
accede;acced;377;1576;0;0;0;0;0;0;0
acceded;acced;378;867;0;0;0;0;0;0;0
accedes;acced;379;621;0;0;0;0;0;0;0
acceding;acced;380;1591;0;0;0;0;0;0;0
accelerate;acceler;381;317124;0;0;0;0;0;0;0
accelerated;acceler;382;2321189;0;0;0;0;0;0;0
accelerates;acceler;383;15336;0;0;0;0;0;0;0
accelerating;acceler;384;40130;0;0;0;0;0;0;0
acceleration;acceler;385;581622;0;0;0;0;0;0;0
accelerations;acceler;386;6801;0;0;0;0;0;0;0
accelerator;acceler;387;7871;0;0;0;0;0;0;0
accelerators;acceler;388;5365;0;0;0;0;0;0;0
accelerometer;acceleromet;389;549;0;0;0;0;0;0;0
accent;accent;390;3224;0;0;0;0;0;0;0
accented;accent;391;312;0;0;0;0;0;0;0
accenting;accent;392;21;0;0,125;0;0;0;0;0
accents;accent;393;1593;0;0;0;0;0;0;0
accentual;accentu;394;1;0;0;0;0;0;0;0
accentuate;accentu;395;645;0;0;0;0;0;0;0
accentuated;accentu;396;1220;0;0;0;0;0;0;0
accentuates;accentu;397;146;0;0;0;0;0;0;0
accentuating;accentu;398;68;0;0;0;0;0;0;0
accentuation;accentu;399;38;0;0;0;0;0;0;0
accentuations;accentu;400;0;0;0;0;0;0;0;0
accept;accept;401;625898;0;0,125;0;0;0;0;0
acceptabilities;accept;402;0;0;0;0;0;0;0;0
acceptability;accept;403;14971;0,25;0,5;0;0;0;0;0
acceptable;accept;404;1288225;0;0,625;0;0;0;0;0
acceptableness;accept;405;15;0,25;0,5;0;0;0;0;0
acceptablenesses;accept;406;0;0;0;0;0;0;0;0
acceptably;accept;407;772;0;0,5;0;0;0;0;0
acceptance;accept;408;1398783;0;0;0;0;0;0;0
acceptances;accept;409;86206;0;0;0;0;0;0;0
acceptation;accept;410;122;0;0,375;0;0;0;0;0
acceptations;accept;411;1;0;0;0;0;0;0;0
accepted;accept;412;4093060;0;0,5;0;0;0;0;0
accepting;accept;413;163974;0,125;0,375;0;0;0;0;0
acceptor;acceptor;414;1185;0;0;0;0;0;0;0
accepts;accept;415;172391;0;0;0;0;0;0;0
access;access;416;2312440;0;0;0;0;0;0;0
accessed;access;417;47424;0;0;0;0;0;0;0
accesses;access;418;5887;0;0;0;0;0;0;0
accessibilities;access;419;5;0;0;0;0;0;0;0
accessibility;access;420;24117;0;0;0;0;0;0;0
accessible;access;421;93219;0;0,625;0;0;0;0;0
accessibly;access;422;14;0;0;0;0;0;0;0
accessing;access;423;40143;0;0;0;0;0;0;0
accession;access;424;10498;0;0;0;2009;0;0;0
accessions;access;425;22571;0;0;0;2009;0;0;0
accessories;accessori;426;222417;0;0;0;0;0;0;0
accessorize;accessor;427;277;0;0;0;0;0;0;0
accessory;accessori;428;34956;0;0,375;0;0;0;0;0
accessways;accessway;429;419;0;0;0;0;0;0;0
accident;accid;430;267732;0,75;0;0;0;0;0;0
accidental;accident;431;56175;0,125;0;0;0;0;0;0
accidentally;accident;432;1726;0,125;0,25;0;0;0;0;0
accidentals;accident;433;0;0;0;0;0;0;0;0
accidents;accid;434;58412;0,5;0;0;0;0;0;0
acclaim;acclaim;435;1143;0;0,375;0;0;0;0;0
acclaimed;acclaim;436;1513;0;0,5;0;0;0;0;0
acclaiming;acclaim;437;1;0;0;0;0;0;0;0
acclaims;acclaim;438;5;0;0;0;0;0;0;0
acclamation;acclam;439;128;0;0,625;0;0;0;0;0
acclamations;acclam;440;1;0;0;0;0;0;0;0
acclimate;acclim;441;102;0,375;0;0;0;0;0;0
acclimated;acclim;442;144;0;0;0;0;0;0;0
acclimates;acclim;443;5;0;0;0;0;0;0;0
acclimating;acclim;444;49;0;0;0;0;0;0;0
acclimation;acclim;445;48;0;0;0;0;0;0;0
acclimations;acclim;446;0;0;0;0;0;0;0;0
acclimatization;acclimat;447;34;0;0;0;0;0;0;0
acclimatizations;acclimat;448;0;0;0;0;0;0;0;0
acclimatize;acclimat;449;2;0,375;0;0;0;0;0;0
acclimatized;acclimat;450;25;0;0;0;0;0;0;0
acclimatizes;acclimat;451;0;0;0;0;0;0;0;0
acclimatizing;acclimat;452;3;0;0;0;0;0;0;0
acclivities;accliv;453;0;0;0;0;0;0;0;0
acclivity;accliv;454;3;0;0;0;0;0;0;0
accolade;accolad;455;445;0;0,5;0;0;0;0;0
accolades;accolad;456;613;0;0;0;0;0;0;0
accommodate;accommod;457;153603;0;0,125;0;0;0;0;0
accommodated;accommod;458;4646;0;0;0;0;0;0;0
accommodates;accommod;459;5150;0;0;0;0;0;0;0
accommodating;accommod;460;5398;0;0,5;0;0;0;0;0
accommodatingly;accommodatingli;461;0;0;0;0;0;0;0;0
accommodation;accommod;462;57176;0;0;0;0;0;0;0
accommodations;accommod;463;67670;0;0;0;0;0;0;0
accommodative;accommod;464;1749;0;0,5;0;0;0;0;0
accompanied;accompani;465;308529;0;0;0;0;0;0;0
accompanies;accompani;466;72567;0;0;0;0;0;0;0
accompaniment;accompani;467;800;0;0;0;0;0;0;0
accompaniments;accompani;468;313;0;0;0;0;0;0;0
accompanist;accompanist;469;25;0;0;0;0;0;0;0
accompanists;accompanist;470;18;0;0;0;0;0;0;0
accompany;accompani;471;43480;0;0;0;0;0;0;0
accompanying;accompani;472;5027940;0;0;0;0;0;0;0
accomplice;accomplic;473;84;0;0;0;0;0;0;0
accomplices;accomplic;474;20;0;0;0;0;0;0;0
accomplish;accomplish;475;142345;0,125;0,125;0;0;0;0;0
accomplished;accomplish;476;130879;0;0,75;0;0;0;0;0
accomplishes;accomplish;477;4048;0;0,5;0;0;0;0;0
accomplishing;accomplish;478;20317;0;0,5;0;0;0;0;0
accomplishment;accomplish;479;15867;0;0,5;0;0;0;0;0
accomplishments;accomplish;480;13666;0;0,5;0;0;0;0;0
accord;accord;481;38052;0,375;0,5;0;0;0;0;0
accordance;accord;482;11663829;0,375;0;0;0;0;0;0
accordances;accord;483;17;0;0;0;0;0;0;0
accordant;accord;484;304;0;0,5;0;0;0;0;0
accorded;accord;485;32289;0;0;0;0;0;0;0
according;accord;486;857758;0;0,125;0;0;0;0;0
accordingly;accordingli;487;2938727;0,25;0,5;0;0;0;0;0
accordion;accordion;488;15710;0;0;0;0;0;0;0
accordionist;accordionist;489;0;0;0;0;0;0;0;0
accordionists;accordionist;490;0;0;0;0;0;0;0;0
accordions;accordion;491;5;0;0;0;0;0;0;0
accords;accord;492;5367;0;0;0;0;0;0;0
accost;accost;493;3;0;0,125;0;0;0;0;0
accosted;accost;494;0;0;0;0;0;0;0;0
accosting;accost;495;3;0;0;0;0;0;0;0
accosts;accost;496;2;0;0;0;0;0;0;0
account;account;497;4965428;0;0;0;0;0;0;0
accountabilities;account;498;2546;0;0;0;0;0;0;0
accountability;account;499;44500;0;0;0;0;0;0;0
accountable;account;500;40913;0;0;0;0;0;0;0
accountancies;account;501;4;0;0;0;0;0;0;0
accountancy;account;502;2711;0;0;0;0;0;0;0
accountant;account;503;379195;0;0;0;0;0;0;0
accountants;account;504;956734;0;0;0;0;0;0;0
